"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Leona","Support",32,"38.6%","26.5%","65.1%","34%","34%",22,103,201,2.2,"58.2%","23.0%","19%",-34,-8,1.1,1.1,"2.9%",94,"5.9%","8.3%",1.66,0.44
"Lillia","Jungle",2,"2.4%","0.0%","2.4%","50%","100%",7,8,10,2.1,"89.5%","26.7%","50%",77,84,7,6.7,"13.3%",432,"28.8%","23.5%",0.46,0.43
"Lissandra","Middle",5,"6.0%","3.6%","9.6%","80%","100%",8,8,35,5.4,"67.2%","36.4%","60%",-154,-231,-5.2,8.5,"23.7%",388,"21.6%","21.2%",0.23,0.36
"Lucian","ADC",15,"18.1%","54.2%","78.3%","60%","7%",58,41,85,3.5,"68.8%","22.4%","27%",196,206,4.6,9.6,"31.9%",507,"27.6%","26.3%",0.47,0.48
"Lucian","Top",5,"6.0%","54.2%","78.3%","60%","80%",21,16,30,3.2,"65.4%","23.2%","40%",626,367,13.2,8.7,"28.9%",591,"27.7%","25.7%",0.54,0.33
"Lulu","Support",16,"19.3%","3.6%","22.9%","56%","75%",12,34,118,3.8,"74.7%","17.7%","25%",156,80,-3.2,0.5,"1.8%",105,"6.7%","9.2%",1.57,0.37
"Malphite","Top",2,"2.4%","3.6%","6.0%","0%","100%",0,6,2,0.3,"28.6%","21.4%","0%",-770,-288,-20,7.2,"23.6%",201,"23.5%","19.3%",0.44,0.15
"Malzahar","Middle",3,"3.6%","2.4%","6.0%","67%","100%",10,6,18,4.7,"65.1%","20.0%","67%",-391,-157,-7.7,8.6,"27.1%",405,"21.1%","24.5%",0.3,0.32
"Maokai","Support",2,"2.4%","0.0%","2.4%","50%","50%",2,7,15,2.4,"68.0%","26.9%","0%",48,291,3,1.5,"5.1%",393,"19.6%","9.7%",1.61,0.46
"Miss Fortune","ADC",51,"61.4%","12.0%","73.5%","43%","35%",179,110,212,3.6,"58.4%","14.5%","14%",-17,37,0.5,9.3,"31.3%",429,"24.7%","26.6%",0.45,0.4
"Nami","Support",13,"15.7%","24.1%","39.8%","54%","38%",11,29,131,4.9,"81.6%","19.5%","23%",91,70,-2.9,0.5,"1.9%",184,"10.5%","9.0%",2.07,0.39
"Nautilus","Support",10,"12.0%","4.8%","16.9%","50%","90%",4,47,84,1.9,"62.9%","29.2%","10%",-194,-63,8,1,"1.9%",118,"6.4%","7.9%",1.59,0.3
"Olaf","Jungle",6,"7.2%","14.5%","24.1%","50%","83%",18,16,39,3.6,"63.3%","17.0%","0%",257,339,4.5,5.2,"14.6%",365,"16.8%","17.1%",0.37,0.45
"Olaf","Top",2,"2.4%","14.5%","24.1%","0%","100%",11,10,13,2.4,"66.7%","16.4%","0%",-285,-163,-5,7.2,"26.0%",493,"23.4%","23.6%",0.36,0.18
"Orianna","Middle",12,"14.5%","3.6%","18.1%","33%","67%",23,25,42,2.6,"67.0%","16.2%","0%",-175,-109,-3.7,8.8,"26.4%",385,"25.8%","23.7%",0.44,0.21
"Poppy","Jungle",8,"9.6%","6.0%","18.1%","63%","88%",14,15,47,4.1,"58.1%","20.8%","38%",19,45,2.5,5.7,"16.4%",245,"14.4%","17.0%",0.32,0.45
"Poppy","Top",2,"2.4%","6.0%","18.1%","0%","100%",1,7,5,0.9,"60.0%","23.3%","0%",-305,-351,-13.5,6.7,"20.5%",250,"20.8%","19.6%",0.28,0.23
"Pyke","Support",3,"3.6%","0.0%","3.6%","33%","67%",13,15,19,2.1,"59.3%","20.3%","0%",317,331,4.7,1.3,"4.4%",205,"10.3%","14.1%",2.34,0.51
"Qiyana","Jungle",10,"12.0%","10.8%","22.9%","70%","70%",43,25,59,4.1,"61.8%","22.7%","30%",63,-72,-0.2,6.2,"18.7%",363,"19.1%","18.8%",0.67,0.52
"Rakan","Support",29,"34.9%","19.3%","54.2%","62%","28%",24,75,307,4.4,"75.7%","20.7%","24%",-52,-81,0.3,1.1,"3.1%",130,"7.1%","9.1%",2.15,0.51
"Rell","Support",9,"10.8%","3.6%","14.5%","56%","78%",9,32,76,2.7,"59.9%","27.1%","11%",-26,-141,3.7,1.1,"2.4%",134,"7.0%","8.6%",1.6,0.37
